ObservableProperty,Procedure Identifier,Result Type,Unit specified with procedure,Collection 1,Notation,Part of soil/fraction
Concentration of Bicarbonate ,http://anzsoil.org/def/au/scm/14D2,number,MilliGM-PER-L or CentiMOL-PER-L,Chemical,0,fine soil fraction (<2mm)
Concentration of Carbonate ,http://anzsoil.org/def/au/scm/14D2,number,MilliGM-PER-L or CentiMOL-PER-L,Chemical,0,fine soil fraction (<2mm)
Concentration of Chloride ,http://anzsoil.org/def/au/scm/14E1,number,MilliGM-PER-L or CentiMOL-PER-L,Chemical,0,fine soil fraction (<2mm)
Concentration of Chloride ,http://anzsoil.org/def/au/scm/14E2,number,MilliGM-PER-L or CentiMOL-PER-L,Chemical,0,fine soil fraction (<2mm)
Concentration of Chloride ,http://anzsoil.org/def/au/scm/14E2a,number,MilliGM-PER-L or CentiMOL-PER-L,Chemical,0,fine soil fraction (<2mm)
Concentration of Chloride ,http://anzsoil.org/def/au/scm/14E2b,number,MilliGM-PER-L or CentiMOL-PER-L,Chemical,0,fine soil fraction (<2mm)
Concentration of Chloride ,http://anzsoil.org/def/au/scm/14E3,number,MilliGM-PER-L or CentiMOL-PER-L,Chemical,0,fine soil fraction (<2mm)
Concentration of Sulfate ,http://anzsoil.org/def/au/scm/14F1,number,MilliGM-PER-L or CentiMOL-PER-L,Chemical,0,fine soil fraction (<2mm)
Concentration of Sulfate ,http://anzsoil.org/def/au/scm/14F2,number,MilliGM-PER-L or CentiMOL-PER-L,Chemical,0,fine soil fraction (<2mm)
Concentration of Sulfate ,http://anzsoil.org/def/au/scm/14F3,number,MilliGM-PER-L or CentiMOL-PER-L,Chemical,0,fine soil fraction (<2mm)
Concentration of Sulfate ,http://anzsoil.org/def/au/scm/14F5,number,MilliGM-PER-L or CentiMOL-PER-L,Chemical,0,fine soil fraction (<2mm)
Concentration of Sulfate ,http://anzsoil.org/def/au/scm/14F5a,number,MilliGM-PER-L or CentiMOL-PER-L,Chemical,0,fine soil fraction (<2mm)
Concentration of Sulfate ,http://anzsoil.org/def/au/scm/14F5b,number,MilliGM-PER-L or CentiMOL-PER-L,Chemical,0,fine soil fraction (<2mm)
Concentration of Fluoride ,http://anzsoil.org/def/au/scm/14G1,number,MilliGM-PER-L or CentiMOL-PER-L,Chemical,0,fine soil fraction (<2mm)
Concentration of Fluoride ,http://anzsoil.org/def/au/scm/14G2,number,MilliGM-PER-L or CentiMOL-PER-L,Chemical,0,fine soil fraction (<2mm)
Concentration of Fluoride ,http://anzsoil.org/def/au/scm/14G2a,number,MilliGM-PER-L or CentiMOL-PER-L,Chemical,0,fine soil fraction (<2mm)
Concentration of Fluoride ,http://anzsoil.org/def/au/scm/14G2b,number,MilliGM-PER-L or CentiMOL-PER-L,Chemical,0,fine soil fraction (<2mm)
Concentration of Calcium ,http://anzsoil.org/def/au/scm/14H1,number,MilliGM-PER-L or CentiMOL-PER-L,Chemical,0,fine soil fraction (<2mm)
